Human	Mouse	Rat
POGLUT2	Poglut2	Poglut2
TMUB2	Tmub2	Tmub2
SLC38A10	Slc38a10	Slc38a10
C11orf24	1810055G02Rik	C1h11orf24
PHF10	Phf10	Phf10
IGSF5	Igsf5	Igsf5
AOPEP	Aopep	Aopep
RAP2C	Rap2c	Rap2c
CNOT2	Cnot2	Cnot2
ANKS4B	Anks4b	Anks4b
OGFR	Ogfr	Ogfr
GCNT3	Gcnt3	Gcnt3
SAPCD2	Sapcd2	Sapcd2
PIGX	Pigx	Pigx
OSGEPL1	Osgepl1	Osgepl1
USH1C	Ush1c	Ush1c
ENTPD8	Entpd8	Entpd8
EEF1AKMT2	Eef1akmt2	Eef1akmt2
CRACDL	Cracdl	Cracdl
TMEM68	Tmem68	Tmem68
DUSP11	Dusp11	Dusp11
APLF	Aplf	Aplf
JMJD8	Jmjd8	Jmjd8
DSCC1	Dscc1	Dscc1
DDHD2	Ddhd2	Ddhd2
PPP1R14D	Ppp1r14d	Ppp1r14d
ADCK1	Adck1	Adck1
ZBED3	Zbed3	Zbed3
NAA50	Naa50	Naa50
TPX2	Tpx2	Tpx2
DENND2D	Dennd2d	Dennd2d
CCDC71L	Ccdc71l	Ccdc71l
SEH1L	Seh1l	Seh1l
AMER2	Amer2	Amer2
PEX13	Pex13	Pex13
TRUB1	Trub1	Trub1
PYGO1	Pygo1	Pygo1
CHST14	Chst14	Chst14
WDSUB1	Wdsub1	Wdsub1
CEP89	Cep89	Cep89
ADPGK	Adpgk	Adpgk
SLC37A3	Slc37a3	Slc37a3
WDFY3	Wdfy3	Wdfy3
ZBTB46	Zbtb46	Zbtb46
TDRP	Tdrp	Tdrp
STRADA	Strada	Strada
RFC5	Rfc5	Rfc5
CENPN	Cenpn	Cenpn
TMEM163	Tmem163	Tmem163
DHX36	Dhx36	Dhx36
THUMPD2	Thumpd2	Thumpd2
AIFM3	Aifm3	Aifm3
TRIM29	Trim29	Trim29
CHCHD4	Chchd4	Chchd4
SHQ1	Shq1	Shq1
MFSD8	Mfsd8	Mfsd8
FBXL2	Fbxl2	Fbxl2
ZNF2	Zfp661	LOC100909998
NSUN4	Nsun4	Nsun4
SNX6	Snx6	Snx6
KLHL35	Klhl35	Klhl35
DBNDD1	Dbndd1	Dbndd1
C3orf70	2510009E07Rik	C11h3orf70
SCAF11	Scaf11	Scaf11
SUPT7L	Supt7l	Supt7l
MTREX	Mtrex	Mtrex
MMS19	Mms19	Mms19
OTUD6B	Otud6b	Otud6b
EML2	Eml2	Eml2
SPMAP1	Spmap1	Spmap1
CIMIP1	Cimip1	Cimip1
ZNF558	Zfp558	NA
TSNAXIP1	Tsnaxip1	Tsnaxip1
TBC1D5	Tbc1d5	Tbc1d5
C19orf12	1600014C10Rik	C1h19orf12
C19orf44	1700030K09Rik	C16h19orf44
TRAM1	Tram1	Tram1
LRRC8E	Lrrc8e	Lrrc8e
CDA	Cda	Cda
SMIM24	Smim24	Smim24
C19orf33	2200002D01Rik	C1h19orf33
FAM186A	Fam186a	Fam186a
CCPG1	Ccpg1	Ccpg1
SH2D4A	Sh2d4a	Sh2d4a
LTO1	LTO1	Lto1
PLEKHF1	Plekhf1	Plekhf1
MALAT1	Malat1	NA
LSM11	Lsm11	Lsm11
NKD2	Nkd2	Nkd2
RUSC1	Rusc1	Rusc1
B3GNT3	B3gnt3	B3gnt3
SHISAL1	Shisal1	Shisal1
ZNF777	Zfp777	Zfp777
C22orf39	2510002D24Rik	C11h22orf39
BRF1	Brf1	Brf1
TMEM158	Tmem158	Tmem158
NKG7	Nkg7	Nkg7
FRYL	Fryl	Fryl
CYTH4	Cyth4	Cyth4
KIFBP	Kifbp	Kifbp
XPO5	Xpo5	Xpo5
ASB6	Asb6	Asb6
PLXDC1	Plxdc1	Plxdc1
VPS9D1	Vps9d1	Vps9d1
KLHL40	Klhl40	Klhl40
PALLD	Palld	Palld
WDR89	Wdr89	Wdr89
ELP6	Elp6	Elp6
USP36	Usp36	Usp36
AMER1	Amer1	Amer1
DUSP3	Dusp3	Dusp3
ZC2HC1C	Zc2hc1c	Zc2hc1c
PTAR1	Ptar1	Ptar1
TTC4	Ttc4	Ttc4
CDPF1	Cdpf1	Cdpf1
C12orf43	2210016L21Rik	C12h12orf43
BORCS8	Borcs8	Borcs8
KIAA0825	2210408I21Rik	Kiaa0825
PSCA	Psca	Psca
CNFN	Cnfn	Cnfn
RIPK4	Ripk4	Ripk4
CDKN3	Cdkn3	Cdkn3
TMEM175	Tmem175	Tmem175
FAIM2	Faim2	Faim2
BRAP	Brap	Brap
PINX1	Pinx1	Pinx1
SLC43A1	Slc43a1	Slc43a1
WDR44	Wdr44	Wdr44
KCNMB2	Kcnmb2	Kcnmb2
SGO1	Sgo1	Sgo1
LRPPRC	Lrpprc	Lrpprc
IFT70B	Ift70b	Ift70b
KATNBL1	Katnbl1	Katnbl1
DNAJC25	Dnajc25	Dnajc25
CEACAM18	Ceacam18	Ceacam18
SPINK5	Spink5	Spink5
RAB38	Rab38	Rab38
RHNO1	Rhno1	Rhno1
PRR5L	Prr5l	Prr5l
CCDC71	Ccdc71	Ccdc71
HTATSF1	Htatsf1	Htatsf1
PRCP	Prcp	Prcp
RRP1B	Rrp1b	Rrp1b
ZNF131	Zfp131	Zfp131
PLCD3	Plcd3	Plcd3
SLC16A10	Slc16a10	Slc16a10
SSBP3	Ssbp3	Ssbp3
TMEM87B	Tmem87b	Tmem87b
HSDL2	Hsdl2	Hsdl2
TSPYL4	Tspyl4	Tspyl4
ACBD6	Acbd6	Acbd6
OBI1	Obi1	Obi1
IER5L	Ier5l	Ier5l
CWF19L1	Cwf19l1	Cwf19l1
BLTP2	Bltp2	Bltp2
TAF4B	Taf4b	Taf4b
DZIP1L	Dzip1l	Dzip1l
RPS6KB1	Rps6kb1	Rps6kb1
STING1	Sting1	Sting1
FGFBP3	Fgfbp3	Fgfbp3
WDR43	Wdr43	Wdr43
PIP4P2	Pip4p2	Pip4p2
ATXN7L2	Atxn7l2	Atxn7l2
ALDH1B1	Aldh1b1	Aldh1b1
TAGAP	Tagap	Tagap
PGAM5	Pgam5	Pgam5
MVB12B	Mvb12b	Mvb12b
EXOSC6	Exosc6	Exosc6
REEP4	Reep4	Reep4
HSDL1	Hsdl1	Hsdl1
UTP14A	Utp14a	Utp14a
SHISA9	Shisa9	Shisa9
ZNF566	Zfp566	NA
NAALAD2	Naalad2	Naalad2
PCBD2	Pcbd2	Pcbd2
UACA	Uaca	Uaca
BCLAF1	Bclaf1	Bclaf1
LIN9	Lin9	Lin9
BBS5	Bbs5	Bbs5
SPATS2	Spats2	Spats2
ZUP1	Zup1	Zup1
CUL4B	Cul4b	Cul4b
LYPD1	Lypd1	Lypd1
PAN3	Pan3	Pan3
PPME1	Ppme1	Ppme1
PDIA5	Pdia5	Pdia5
CA10	Car10	Car10
USP13	Usp13	Usp13
ZNF655	Zfp655	Zfp655
HPF1	Hpf1	Hpf1
PIH1D2	Pih1d2	Pih1d2
ANKS3	Anks3	Anks3
PDZD11	Pdzd11	Pdzd11
HSPA12B	Hspa12b	Hspa12b
SMIM18	Smim18	Smim18
TDRKH	Tdrkh	Tdrkh
LINS1	Lins1	Lins1
MEX3A	Mex3a	Mex3a
TMEM209	Tmem209	Tmem209
MTRFR	Mtrfr	Mtrfr
CCDC12	Ccdc12	Ccdc12
INTS8	Ints8	Ints8
SELENOH	Selenoh	Selenoh
SERP2	Serp2	Serp2
DIS3	Dis3	Dis3
GLI4	2810039B14Rik	Gli4
ZNF444	Zfp444	Zfp444
SKIDA1	Skida1	Skida1
ZNF518A	Zfp518a	Zfp518a
ADIPOR1	Adipor1	Adipor1
DNAJC6	Dnajc6	Dnajc6
FAM110D	Fam110d	Fam110d
CALHM2	Calhm2	Calhm2
HNRNPLL	Hnrnpll	Hnrnpll
ZCCHC12	Zcchc12	Zcchc12
LIME1	Lime1	Lime1
ZNF618	Zfp618	Zfp618
C1QTNF6	C1qtnf6	C1qtnf6
ANGPTL1	Angptl1	Angptl1
ZNF248	Zfp248	Zfp248
FAM98A	Fam98a	Fam98a
ZNF569	Zfp74	Zfp74
TBCC	Tbcc	Tbcc
B3GAT3	B3gat3	B3gat3
CDC42SE2	Cdc42se2	Cdc42se2
TMX1	Tmx1	Tmx1
TMEM161B	Tmem161b	Tmem161b
TTC39C	Ttc39c	Ttc39c
HDHD3	Hdhd3	Hdhd3
TONSL	Tonsl	Tonsl
FAM117B	Fam117b	Fam117b
ARHGEF10L	Arhgef10l	Arhgef10l
TMEM135	Tmem135	Tmem135
RINT1	Rint1	Rint1
NEIL1	Neil1	Neil1
FANCE	Fance	Fance
SASS6	Sass6	Sass6
DNAJC22	Dnajc22	Dnajc22
RSPO3	Rspo3	Rspo3
NDC1	Ndc1	Ndc1
VEPH1	Veph1	Veph1
C2orf72	2810459M11Rik	C9h2orf72
TTC19	Ttc19	Ttc19
ZNF839	Zfp839	Zfp839
PARD3B	Pard3b	Pard3b
MON1A	Mon1a	Mon1a
FAM76B	Fam76b	Fam76b
UBASH3B	Ubash3b	Ubash3b
DHX30	Dhx30	Dhx30
CRTAC1	Crtac1	Crtac1
CEROX1	Cerox1	NA
PRDM4	Prdm4	Prdm4
KCTD17	Kctd17	Kctd17
MBLAC2	Mblac2	Mblac2
BBOF1	Bbof1	Bbof1
ZDHHC4	Zdhhc4	Zdhhc4
YJU2	Yju2	Yju2
SETD5	Setd5	Setd5
ASPHD2	Asphd2	Asphd2
MACROD2	Macrod2	Macrod2
NDUFV2	Ndufv2	Ndufv2
SPOCK3	Spock3	Spock3
MARCHF1	Marchf1	Marchf1
HEPACAM	Hepacam	Hepacam
SWI5	Swi5	Swi5
DDX41	Ddx41	Ddx41
IFT25	Ift25	Ift25
LRRC47	Lrrc47	Lrrc47
PHYKPL	Phykpl	Phykpl
TPPP	Tppp	Tppp
CCNT2	Ccnt2	Ccnt2
TOP1MT	Top1mt	Top1mt
SLC17A7	Slc17a7	Slc17a7
TYMP	Tymp	NA
CCSER2	Ccser2	Ccser2
FBXO47	Fbxo47	Fbxo47
CNIH3	Cnih3	Cnih3
THAP12	Thap12	Thap12
TMEM138	Tmem138	Tmem138
APPL1	Appl1	Appl1
KANTR	Kantr	Kantr
INSIG2	Insig2	Insig2
GPR22	Gpr22	Gpr22
KREMEN2	Kremen2	Kremen2
EMC7	Emc7	Emc7
TTC9B	Ttc9b	Ttc9b
GLRX5	Glrx5	Glrx5
PPP1R16A	Ppp1r16a	Ppp1r16a
TMEM192	Tmem192	Tmem192
FUT11	Fut11	Fut11
PRR36	Prr36	Prr36
PPIL6	Ppil6	Ppil6
RPS6KA5	Rps6ka5	Rps6ka5
C19orf18	2900092C05Rik	C1h19orf18
SGIP1	Sgip1	Sgip1
SLC25A42	Slc25a42	Slc25a42
C2orf76	3110009E18Rik	C13h2orf76
PRSS57	Prss57	Prss57
ABRACL	Abracl	Abracl
RFLNA	Rflna	Rflna
TGFBRAP1	Tgfbrap1	Tgfbrap1
GOLIM4	Golim4	Golim4
TMED5	Tmed5	Tmed5
SLC25A16	Slc25a16	Slc25a16
PRRC1	Prrc1	Prrc1
CENPV	Cenpv	Cenpv
MIR100HG	Mir100hg	NA
LARP1	Larp1	Larp1
OTUD3	Otud3	Otud3
TM7SF2	Tm7sf2	Tm7sf2
ARHGAP8	Arhgap8	Arhgap8
EXO5	Exo5	Exo5
PCDH18	Pcdh18	Pcdh18
TBKBP1	Tbkbp1	Tbkbp1
WASL	Wasl	Wasl
NFATC4	Nfatc4	Nfatc4
PEAR1	Pear1	Pear1
FEZF1	Fezf1	Fezf1
XPOT	Xpot	Xpot
C9orf72	C9orf72	RGD1359108
CHLSN	Chlsn	Chlsn
SPPL2B	Sppl2b	Sppl2b
FAM118A	Fam118a	Fam118a
BMPER	Bmper	Bmper
SNORC	Snorc	Snorc
ATAT1	Atat1	Atat1
RASSF6	Rassf6	Rassf6
MRGBP	Mrgbp	Mrgbp
SETD7	Setd7	Setd7
CCDC18	Ccdc18	Ccdc18
CIB4	Cib4	Cib4
C16orf90	1700037C18Rik	C10h16orf90
GPBP1	Gpbp1	Gpbp1
DDIT4L	Ddit4l	Ddit4l
CABCOCO1	Cabcoco1	Cabcoco1
VPS50	Vps50	Vps50
DNAAF19	Ccdc103	Dnaaf19
RHOBTB3	Rhobtb3	Rhobtb3
TTC29	Ttc29	Ttc29
LRRC69	Lrrc69	Lrrc69
CALR3	Calr3	Calr3
CLHC1	Clhc1	Clhc1
PRADC1	Pradc1	Pradc1
CCDC30	Ccdc30	Ccdc30
SLC25A31	Slc25a31	Slc25a31
ITPRIPL1	Itpripl1	Itpripl1
NPTXR	Nptxr	Nptxr
ARHGEF6	Arhgef6	Arhgef6
C12orf71	1700034J05Rik	C4h12orf71
ACTRT2	Actrt2	Actrt2
ACTRT1	Actrt1	Actrt1
COL20A1	Col20a1	Col20a1
PHOSPHO2	Phospho2	Phospho2
CIMIP4	Cimip4	Cimip4
DCBLD2	Dcbld2	Dcbld2
CMTM2	Cmtm2a	Cmtm2b
BPIFA3	Bpifa3	Bpifa3
SPMIP8	Spmip8	Spmip8
NME8	Nme8	Nme8
ARMT1	Armt1	Armt1
CCSAP	Ccsap	Ccsap
PROX2	Prox2	Prox2
TEX35	Tex35	Tex35
HSPA12A	Hspa12a	Hspa12a
WDR13	Wdr13	Wdr13
SMIM33	Smim33	Smim33
C19orf67	1700067K01Rik	C19h19orf67
IZUMO1	Izumo1	Izumo1
C2CD6	C2cd6	C2cd6
MS4A13	Ms4a13	Ms4a13
C2orf69	1700066M21Rik	C9h2orf69
RNF38	Rnf38	Rnf38
KIF2B	Kif2b	Kif2b
SPATA18	Spata18	Spata18
IWS1	Iws1	Iws1
MIPOL1	Mipol1	Mipol1
MBD3L1	Mbd3l1	Mbd3l1
PEBP4	Pebp4	Pebp4
CFAP141	Cfap141	Cfap141
DUSP21	Dusp21	Dusp21
VGLL3	Vgll3	Vgll3
CAMKMT	Camkmt	Camkmt
C9orf50	1700001O22Rik	C3h9orf50
TP53TG5	Trp53tg5	Tp53tg5
MARVELD3	Marveld3	Marveld3
CHCT1	Chct1	Chct1
PTGES3L	Ptges3l	Ptges3l
CAPN9	Capn9	Capn9
CYBRD1	Cybrd1	Cybrd1
SPNS1	Spns1	Spns1
THOC3	Thoc3	Thoc3
CIMIP5	Cimip5	Cimip5
TTC21B	Ttc21b	Ttc21b
DEFB135	Defb30	Defb30
SULT6B1	Sult6b1	Sult6b1
REC114	Rec114	Rec114
WDR75	Wdr75	Wdr75
PSMA8	Psma8	Psma8
ZBTB8A	Zbtb8a	Zbtb8a
TRMT11	Trmt11	Trmt11
ATG16L2	Atg16l2	Atg16l2
BLOC1S2	Bloc1s2	Bloc1s2
GLIPR1	Glipr1	Glipr1
CPLANE1	Cplane1	Cplane1
DPPA4	Dppa4	Dppa4
NDUFAF7	Ndufaf7	Ndufaf7
PPP2R1B	Ppp2r1b	Ppp2r1b
DPPA2	Dppa2	Dppa2
DPPA3	Dppa3	Dppa3
MVB12A	Mvb12a	Mvb12a
DMKN	Dmkn	Dmkn
RBM20	Rbm20	Rbm20
CST6	Cst6	Cst6
SPMIP6	Spmip6	Spmip6
SH3BGRL3	Sh3bgrl3	Sh3bgrl3
MCEE	Mcee	Mcee
PSD	Psd	Psd
MUC16	Muc16	Muc16
FCF1	Fcf1	Fcf1
BBLN	Bbln	Bbln
HAUS7	Haus7	Haus7
CBY1	Cby1	Cby1
MAN2C1	Man2c1	Man2c1
SHLD1	Shld1	Shld1
GADL1	Gadl1	Gadl1
WHRN	Whrn	Whrn
THAP1	Thap1	Thap1
PRR27	Prr27	Prr27
KIF2C	Kif2c	Kif2c
TEX36	Tex36	Tex36
SATL1	Satl1	Satl1
FAM83E	Fam83e	Fam83e
MFSD12	Mfsd12	Mfsd12
PPP1R21	Ppp1r21	Ppp1r21
POLDIP3	Poldip3	Poldip3
DCAF4	Dcaf4	Dcaf4
EIF3K	Eif3k	Eif3k
FAM98C	Fam98c	Fam98c
ATP6V1D	Atp6v1d	Atp6v1d
IFITM5	Ifitm5	Ifitm5
SLC35B2	Slc35b2	Slc35b2
ANKRD45	Ankrd45	Ankrd45
ANKRD42	Ankrd42	Ankrd42
FAM110A	Fam110a	Fam110a
C4orf33	D3Ertd751e	C2h4orf33
SPMIP7	Spmip7	Spmip7
SPMIP11	Spmip11	Spmip11
PABIR3	Pabir3	Pabir3
FAM161A	Fam161a	Fam161a
ZDBF2	Zdbf2	Zdbf2
TMEM202	Tmem202	Tmem202
PSMB11	Psmb11	Psmb11
ARHGAP18	Arhgap18	Arhgap18
IRAK3	Irak3	Irak3
IFT57	Ift57	Ift57
LYRM1	Lyrm1	Lyrm1
CCDC175	Ccdc175	Ccdc175
FAM151B	Fam151b	Fam151b
OTUD4	Otud4	Otud4
ATL1	Atl1	Atl1
HERC3	Herc3	Herc3
PSD2	Psd2	Psd2
JAKMIP3	Jakmip3	Jakmip3
DNM1L	Dnm1l	Dnm1l
ABTB3	Abtb3	Abtb3
ARSG	Arsg	Arsg
SLC25A27	Slc25a27	Slc25a27
RAP2B	Rap2b	Rap2b
RFTN2	Rftn2	Rftn2
FCHO1	Fcho1	Fcho1
PHF19	Phf19	Phf19
ALS2	Als2	Als2
TRAF3IP1	Traf3ip1	Traf3ip1
CPNE4	Cpne4	Cpne4
GLYR1	Glyr1	Glyr1
RD3	Rd3	Rd3
NPHP3	Nphp3	Nphp3
MSL1	Msl1	Msl1
RIN2	Rin2	Rin2
SDR42E1	Sdr42e1	Sdr42e1
NOL9	Nol9	Nol9
NFAM1	Nfam1	Nfam1
DDIAS	Ddias	Ddias
PEX26	Pex26	Pex26
TTF2	Ttf2	Ttf2
VSIR	Vsir	Vsir
STEAP2	Steap2	Steap2
TTC21A	Ttc21a	Ttc21a
GRIP1	Grip1	Grip1
PLCE1	Plce1	Plce1
ASZ1	Asz1	Asz1
LMNTD1	Lmntd1	Lmntd1
SYCE1	Syce1	Syce1
NMNAT3	Nmnat3	Nmnat3
CEP350	Cep350	Cep350
SLC7A13	Slc7a13	Slc7a13
PAQR5	Paqr5	Paqr5
NPL	Npl	Npl
TJAP1	Tjap1	Tjap1
HVCN1	Hvcn1	Hvcn1
POP7	Pop7	Pop7
CZIB	Czib	Czib
ARPP21	Arpp21	Arpp21
SLC35A5	Slc35a5	Slc35a5
NEBL	Nebl	Nebl
ABCB6	Abcb6	Abcb6
GGA2	Gga2	Gga2
DCAF6	Dcaf6	Dcaf6
CEP55	Cep55	Cep55
PARN	Parn	Parn
RBM19	Rbm19	Rbm19
USP16	Usp16	Usp16
CROT	Crot	Crot
PI16	Pi16	Pi16
ACTR3	Actr3	Actr3
ZNF263	Zfp263	Zfp263
ACOXL	Acoxl	Acoxl
TMEM43	Tmem43	Tmem43
FOXP4	Foxp4	Foxp4
ARMC8	Armc8	Armc8
SYVN1	Syvn1	Syvn1
KRT80	Krt80	Krt80
DMGDH	Dmgdh	Dmgdh
SASH3	Sash3	Sash3
RNF6	Rnf6	Rnf6
SMG8	Smg8	Smg8
CYP2S1	Cyp2s1	Cyp2s1
SEC14L1	Sec14l1	Sec14l1
NUAK2	Nuak2	Nuak2
TM9SF1	Tm9sf1	Tm9sf1
LONP1	Lonp1	Lonp1
OPA1	Opa1	Opa1
ROBO4	Robo4	Robo4
EHHADH	Ehhadh	Ehhadh
CLUH	Cluh	Cluh
SLC35F5	Slc35f5	Slc35f5
UBA7	Uba7	Uba7
UNKL	Unkl	Unkl
ERRFI1	Errfi1	Errfi1
ACOT12	Acot12	Acot12
CMTR1	Cmtr1	Cmtr1
JOSD1	Josd1	Josd1
ACBD5	Acbd5	Acbd5
NFX1	Nfx1	Nfx1
FBXL22	Fbxl22	Fbxl22
TMEM38A	Tmem38a	Tmem38a
NUDT9	Nudt9	Nudt9
ZDHHC16	Zdhhc16	Zdhhc16
GTSF1	Gtsf1	Gtsf1
CRCT1	Crct1	Crct1
TGM5	Tgm5	Tgm5
STK40	Stk40	Stk40
MUC5B	Muc5b	Muc5b
GPCPD1	Gpcpd1	Gpcpd1
PERM1	Perm1	Perm1
GBE1	Gbe1	Gbe1
CCDC3	Ccdc3	Ccdc3
KATNB1	Katnb1	Katnb1
PHACTR3	Phactr3	Phactr3
EXOC3L4	Exoc3l4	Exoc3l4
P2RY13	P2ry13	P2ry13
ARPC5L	Arpc5l	Arpc5l
RND3	Rnd3	Rnd3
ELP3	Elp3	Elp3
TTC27	Ttc27	Ttc27
GTF2E1	Gtf2e1	Gtf2e1
DTX2	Dtx2	Dtx2
VIT	Vit	Vit
KHDC4	Khdc4	Khdc4
CEP97	Cep97	Cep97
FBLIM1	Fblim1	Fblim1
EIF4ENIF1	Eif4enif1	Eif4enif1
XPO6	Xpo6	Xpo6
ACSL3	Acsl3	Acsl3
SIPA1L3	Sipa1l3	Sipa1l3
C15orf39	1700017B05Rik	C8h15orf39
RBM26	Rbm26	Rbm26
C4orf36	1700016H13Rik	C14h4orf36
SPMIP9	Spmip9	Spmip9
SEPTIN14	Septin14	Septin14
PAQR8	Paqr8	Paqr8
LIAT1	Liat1	Liat1
TUBGCP2	Tubgcp2	Tubgcp2
MTERF2	Mterf2	Mterf2
IQCE	Iqce	Iqce
CHPF	Chpf	Chpf
SLX4IP	Slx4ip	Slx4ip
ATG7	Atg7	Atg7
CTBS	Ctbs	Ctbs
GALE	Gale	Gale
LRRC2	Lrrc2	Lrrc2
ANKRD9	Ankrd9	Ankrd9
ARMC1	Armc1	Armc1
KLRG2	Klrg2	Klrg2
GPN1	Gpn1	Gpn1
SMU1	Smu1	Smu1
CYLD	Cyld	Cyld
TSPAN17	Tspan17	Tspan17
IQCF1	Iqcf1	Iqcf1
AVEN	Aven	Aven
USP20	Usp20	Usp20
MAGEB5	Mageb5	Mageb5l1
CLDND2	Cldnd2	Cldnd2
CHIC2	Chic2	Chic2
SPATC1	Spatc1	Spatc1
TBC1D21	Tbc1d21	Tbc1d21
KCMF1	Kcmf1	Kcmf1
SPEM1	Spem1	Spem1
CCDC182	Ccdc182	Ccdc182
MTMR3	Mtmr3	Mtmr3
TEX54	Tex54	Tex54
OSBP2	Osbp2	Osbp2
RNF145	Rnf145	Rnf145
ISCA2	Isca2	Isca2
HOPX	Hopx	Hopx
METTL23	Mettl23	Mettl23
WDR33	Wdr33	Wdr33
CXXC1	Cxxc1	Cxxc1
CLTB	Cltb	Cltb
HNRNPR	Hnrnpr	Hnrnpr
DNAJC14	Dnajc14	Dnajc14
RANBP10	Ranbp10	Ranbp10
XRCC3	Xrcc3	Xrcc3
PALM3	Palm3	Palm3
SLC6A19	Slc6a19	Slc6a19
AHCYL2	Ahcyl2	Ahcyl2
LRRTM1	Lrrtm1	Lrrtm1
CRTC2	Crtc2	Crtc2
MEAK7	Meak7	Meak7
FHIP1B	Fhip1b	Fhip1b
DDX23	Ddx23	Ddx23
LRGUK	Lrguk	Lrguk
SMCHD1	Smchd1	Smchd1
MATCAP1	Matcap1	Matcap1
C14orf93	4931414P19Rik	C15h14orf93
CEP57	Cep57	Cep57
SPAG17	Spag17	Spag17
LONRF3	Lonrf3	Lonrf3
MEI1	Mei1	Mei1
RPTOR	Rptor	Rptor
CLEC16A	Clec16a	Clec16a
GCC1	Gcc1	Gcc1
MYO18B	Myo18b	Myo18b
HSF2BP	Hsf2bp	Hsf2bp
UBAP2L	Ubap2l	Ubap2l
AP5M1	Ap5m1	Ap5m1
RMI1	Rmi1	Rmi1
EPCIP	Epcip	Epcip
DPP8	Dpp8	Dpp8
SPECC1L	Specc1l	Specc1l
MAP10	Map10	Map10
TERB2	Terb2	Terb2
EFHC2	Efhc2	Efhc2
ODAD4	Odad4	Odad4
TTLL11	Ttll11	Ttll11
PLPP6	Plpp6	Plpp6
GLE1	Gle1	Gle1
TC2N	Tc2n	Tc2n
POLR3C	Polr3c	Polr3c
TKTL2	Tktl2	Tktl2
TMC5	Tmc5	Tmc5
EAF1	Eaf1	Eaf1
CFAP20DC	Cfap20dc	Cfap20dc
SOHLH2	Sohlh2	Sohlh2
LRRIQ3	Lrriq3	Lrriq3
CLVS1	Clvs1	Clvs1
CMIP	Cmip	Cmip
SLCO6A1	Slco6c1	NA
SGMS2	Sgms2	Sgms2
P4HTM	P4htm	P4htm
SLC9B1	Slc9b1	Slc9b1
ARL13A	Arl13a	Arl13a
PANK2	Pank2	Pank2
PGS1	Pgs1	Pgs1
CFAP53	Cfap53	Cfap53
NSUN6	Nsun6	Nsun6
EXOC3L2	Exoc3l2	Exoc3l2
ZSWIM5	Zswim5	Zswim5
PUS10	Pus10	Pus10
TAF7L	Taf7l	Taf7l
CEP72	Cep72	Cep72
STPG3	Stpg3	Stpg3
KIAA0753	4933427D14Rik	4933427D14Rikl
SNX29	Snx29	Snx29
SNX11	Snx11	Snx11
SAMD4A	Samd4	Samd4a
BATF2	Batf2	Batf2
LRRC71	Lrrc71	Lrrc71
OSBPL10	Osbpl10	Osbpl10
LRRC15	Lrrc15	Lrrc15
MAMSTR	Mamstr	Mamstr
KBTBD13	Kbtbd13	Kbtbd13
TNKS2	Tnks2	Tnks2
SOST	Sost	Sost
FAM53A	Fam53a	Fam53a
LRRC17	Lrrc17	Lrrc17
NETO2	Neto2	Neto2
PPP4R4	Ppp4r4	Ppp4r4
MORC2	Morc2a	Morc2
FAM234B	Fam234b	Fam234b
MGME1	Mgme1	Mgme1
GZF1	Gzf1	Gzf1
MAU2	Mau2	Mau2
PCK2	Pck2	Pck2
NIPAL3	Nipal3	Nipal3
ELOVL7	Elovl7	Elovl7
NKX6-3	Nkx6-3	Nkx6-3
RASGEF1C	Rasgef1c	Rasgef1c
MLKL	Mlkl	Mlkl
TTC17	Ttc17	Ttc17
ZKSCAN1	Zkscan1	Zkscan1
KCNK16	Kcnk16	Kcnk16
LVRN	Lvrn	Lvrn
GLB1L	Glb1l	Glb1l
PYROXD2	Pyroxd2	Pyroxd2
SPPL3	Sppl3	Sppl3
KBTBD12	Kbtbd12	Kbtbd12
ABCA12	Abca12	Abca12
CDS1	Cds1	Cds1
MRPL47	Mrpl47	Mrpl47
ABCB8	Abcb8	Abcb8
OCSTAMP	Ocstamp	Ocstamp
SCRN3	Scrn3	Scrn3
SCPEP1	Scpep1	Scpep1
TMEM81	Tmem81	Tmem81
SHPK	Shpk	Shpk
TENT5C	Tent5c	Tent5c
SPSB1	Spsb1	Spsb1
S100PBP	S100pbp	S100pbp
CPA5	Cpa5	Cpa5
POMK	Pomk	Pomk
TEX55	Tex55	Tex55
DRC3	Drc3	Drc3
BRME1	Brme1	Brme1
PTCHD3	Ptchd3	Ptchd3
WDR35	Wdr35	Wdr35
DNAAF8	Dnaaf8	Dnaaf8
LRRC74B	Lrrc74b	Lrrc74b
TDRD9	Tdrd9	Tdrd9
TBC1D30	Tbc1d30	Tbc1d30
TTLL9	Ttll9	Ttll9
WBP2NL	Wbp2nl	Wbp2nl
SPATA17	Spata17	Spata17
TMEM114	Tmem114	Tmem114
SETMAR	Setmar	Setmar
STX11	Stx11	Stx11
RHOH	Rhoh	Rhoh
TRIM14	Trim14	Trim14
PCF11	Pcf11	Pcf11
C2CD5	C2cd5	C2cd5
DDIT4	Ddit4	Ddit4
SLAMF8	Slamf8	Slamf8
TRMO	Trmo	Trmo
DHCR24	Dhcr24	Dhcr24
RAB3IL1	Rab3il1	Rab3il1
MXRA8	Mxra8	Mxra8
MDGA1	Mdga1	Mdga1
NAA60	Naa60	Naa60
KLC4	Klc4	Klc4
YIPF2	Yipf2	Yipf2
PIK3CB	Pik3cb	Pik3cb
HHATL	Hhatl	Hhatl
ATP13A2	Atp13a2	Atp13a2
LMBR1L	Lmbr1l	Lmbr1l
PPA2	Ppa2	Ppa2
